yearmonth,ticker,industry,ret,log_scope1,log_scope2,log_total_emissions,log_energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int,logsize,bm,leverage,mom,investa,roe,logppe,beta,volat,salesgr,epsgr,ticker_encode,date,winsor_bm,winsor_leverage,winsor_mom,winsor_investa,winsor_roe,winsor_volat,winsor_salesgr,winsor_epsgr
201206,AEJ,169,.094527364,13.906589,7.560601162768557,23.116928,16.353182,-78958,193,-789579807,-930006,12220.568,21.432077,122205704,141134.58,15.056682,-3.6940017,.71480799,.0019136559,-.0080674505,3.2723,18.556452,1.47,.14626727,-2.3526011,244.34091,AEJ,2012m6,.072986394,.65629202,.0019136559,-.0080674505,.61269999,.14626727,-2.3526011,244.34091
201201,AEJ,169,-.06666667,13.906589,7.560601162768557,23.116928,16.353182,-78958,193,-789579807,-930006,12220.568,21.432077,122205704,141134.58,15.056682,-3.6940017,.71480799,-.055255778,-.0080674505,3.2723,18.556452,1.47,.18763883,-3.7,383.96429,AEJ,2012m1,.072986394,.65629202,-.055255778,-.0080674505,.61269999,.18763883,-3.7,326.76581
201207,AEJ,169,-.056818184,13.906589,7.560601162768557,23.116928,16.353182,-78958,193,-789579807,-930006,12220.568,21.432077,122205704,141134.58,15.056682,-3.6940017,.71480799,.039360829,-.0080674505,3.2723,18.556452,1.47,.15166679,-2.4969325,259.06024,AEJ,2012m7,.072986394,.65629202,.039360829,-.0080674505,.61269999,.15166679,-2.4969325,259.06024
201204,AEJ,169,.040094338,13.906589,7.560601162768557,23.116928,16.353182,-78958,193,-789579807,-930006,12220.568,21.432077,122205704,141134.58,15.056682,-3.6940017,.71480799,.070143506,-.0080674505,3.2723,18.556452,1.47,.15046738,-2.3458214,243.78685,AEJ,2012m4,.072986394,.65629202,.070143506,-.0080674505,.61269999,.15046738,-2.3458214,243.78685
201203,AEJ,169,.88444442,13.906589,7.560601162768557,23.116928,16.353182,-78958,193,-789579807,-930006,12220.568,21.432077,122205704,141134.58,15.056682,-3.6940017,.71480799,-.083492167,-.0080674505,3.2723,18.556452,1.47,.14990188,-2.4444444,253.56133,AEJ,2012m3,.072986394,.65629202,-.083492167,-.0080674505,.61269999,.14990188,-2.4444444,253.56133
201106,AGL,91,.019481055,14.250714,10.84079585963275,25.763639,17.704842,,,,,218.49106,7.2197948,21849112,6911.0142,22.634026,.93833923,.12079582,.0037622051,-.059748136,.068000004,21.732281,.3116,.068886265,.067384705,3.1153886,AGL,2011m6,.93833923,.12079582,.0037622051,-.059748136,.068000004,.068886265,.067384705,3.1153886
202007,AGL,91,-.025219942,17.558575,13.1468686553755,31.374084,19.607779,-500254,-8133,-500254008133,-8208573,3472.6299,42.138485,3472630016,26953.561,23.08643,.76003546,.21128485,-.012153394,-.051529571,.1292,22.616377,.45500001,.077301592,-.11007527,1.2298436,AGL,2020m7,.76003546,.21128485,-.012153394,-.051529571,.1292,.077301592,-.11007527,1.2298436
201907,AGL,91,.047976013,17.570353,13.16261625000542,31.385862,19.632515,-369708,42330,-369707957670,-2607708,3212.5891,39.138119,3212589056,25260.441,23.297636,.64299035,.19229472,-.0082914308,-.061736725,.1108,22.608515,.59420002,.047705993,.032939129,-5.0391035,AGL,2019m7,.64299035,.19229472,-.0082914308,-.061736725,.1108,.047705993,.032939129,-5.0391035
201802,AGL,91,-.06740614,17.578968,13.07779897212591,31.394478,19.640245,-344524,-10546,-344524010546,-2564138,3354.6465,37.223244,3354646528,26354.137,23.41403,.56908566,.19407064,.0041402918,-.049183689,.1894,22.623133,.59960002,.060058329,.018345002,7.4281793,AGL,2018m2,.56908566,.19407064,.0041402918,-.049183689,.1894,.060058329,.018345002,7.4281793
201410,AGL,91,.0036927622,16.792171,12.63249983922185,30.607681,18.922256,-614212,-8174,-614212008174,-6483440,2056.1863,32.102589,2056186240,17303.99,22.882496,.87576127,.26576027,-.0068786205,-.051735241,.077799998,22.492098,.30239999,.076013856,-.018876132,2.1456954,AGL,2014m10,.87576127,.26576027,-.0068786205,-.051735241,.077799998,.076013856,-.018876132,2.1456954
