yearmonth,ticker,ret,rmrf,smb,hml,rmw,cma,wml,pmc,ticker_encode,date,winsor_ret,winsor_rmrf,winsor_smb,winsor_hml,winsor_rmw,winsor_cma,winsor_wml,winsor_pmc,_Nobs,_R2,_adjR2,_b_winsor_rmrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_rmw,_b_winsor_cma,_b_winsor_wml,_b_winsor_pmc,_b_cons,_fitted,_residuals
201610,1AL,.026041703,-.032264113,.015362275,.03039577,-.0035799295,.02799041,-.013502036,-.013142603,1AL,2016m10,.026041703,-.032264113,.015362275,.03039577,-.0035799295,.02799041,-.013502036,-.013142603,,,,,,,,,,,,,
201611,1AL,-.0050761369,.0082839839,.00087420415,.028172625,.021449881,.022264758,-.026322357,-.000061496736,1AL,2016m11,-.0050761369,.0082839839,.00087420415,.028172625,.021449881,.022264758,-.026322357,-.000061496736,,,,,,,,,,,,,
201612,1AL,-.010204071,.024990026,.041360807,.045182504,.044562768,.038262133,.02586744,.01074835,1AL,2016m12,-.010204071,.024990026,.041360807,.045182504,.044562768,.038262133,.02586744,.01074835,9,.9964089330426943,.9712714643415543,.2525446599234416,1.112481472241966,-.1144647608456477,.7002313934041182,-1.086935399969894,-.2684297343793185,-3.880746739592819,-.0009192019832523,-.0128062093162721,.0026021381372398
201708,1AL,.11363639,-.0083241332,.0019650043,.029067004,.0048976834,.021886997,.027448975,-.012227497,1AL,2017m8,.11363639,-.0083241332,.0019650043,.029067004,.0048976834,.021886997,.027448975,-.012227497,17,.5013482511224497,.1135080019954663,-1.177976910127105,-.308240258439886,1.463537776030664,-.0636098180820361,.0417007530337263,.0743988908330272,-.1829793004663852,-.0170890346771722,.0395322828082113,.0741041065665217
201701,1AL,.015463902,-.010913471,-.05846893,-.011899194,-.049288858,-.017636739,-.015437346,.059631448,1AL,2017m1,.015463902,-.010913471,-.05846893,-.011899194,-.049288858,-.017636739,-.015437346,.053939618,10,.7231994712655743,-.2456023793049158,-.6224584768186401,.9305500593196157,4.589414805491749,-1.529679569707335,-2.609068321209196,.1792404378716915,.5889002873934768,-.0492058258872995,-.0010215711863464,.0164854728700346
201711,1AL,-.010309329,.0090787644,-.0044826232,.0033067109,.018177258,-.00063853635,.023538748,-.00041950023,1AL,2017m11,-.010309329,.0090787644,-.0044826232,.0033067109,.018177258,-.00063853635,.023538748,-.00041950023,20,.4969534971892354,.203509703882956,-1.190557846837415,-.256266530617024,1.301727753309275,-.0695963374375365,.1102077130134009,.0920362826508139,-.1816586838442612,-.0144531228097972,-.0189015508602834,.008592221603868
201609,1AL,-.030303061,-.010444692,-.001711428,-.0092943637,-.019043854,-.0084080463,-.026429828,.0084990505,1AL,2016m9,-.030303061,-.010444692,-.001711428,-.0092943637,-.019043854,-.0084080463,-.026429828,.0084990505,,,,,,,,,,,,,
201801,1AL,.015873002,-.014380356,-.048212562,-.021642512,-.031884059,-.040096618,-.024251208,.015828457,1AL,2018m1,.015873002,-.014380356,-.048212562,-.021642512,-.031884059,-.040096618,-.024251208,.015828457,22,.3995258831990551,.0992888247985827,-.957941887931522,-.0072245231230665,.7061515557445937,-.0685005808809246,.0582202306545943,-.0172965579128151,-.3562261749686075,-.0036804871331198,-.0102089279767217,.0260819298651161
201702,1AL,-.010152274,-.0026899001,-.030109027,.010048829,-.023809755,-.017116779,-.034636628,.017632658,1AL,2017m2,-.010152274,-.0026899001,-.030109027,.010048829,-.023809755,-.017116779,-.034636628,.017632658,11,.6174907157983349,-.2750309473388837,-.5442922920399886,.682951628773707,2.957892995130812,-1.576158567174711,-1.124986657150839,.3576691657128038,-.0955142967697704,-.0334627967647921,.0198731202787458,-.0300253940901458
201709,1AL,0,-.019498456,.023042377,-.010709759,.0030933535,.0031941063,.023646893,.0065505491,1AL,2017m9,0,-.019498456,.023042377,-.010709759,.0030933535,.0031941063,.023646893,.0065505491,18,.4966735055882007,.1443449594999412,-1.167626159391409,-.2125923776870056,1.329665039808471,-.1186692154677094,.0830395947156513,.0963465914017286,-.1640888623588709,-.0146718546984994,-.0099423958942398,.0099423958942398
