ticker_year_month,ticker,year-month,year,industry,month,ret,MKT-RF,SMB,HML,WML,pmc
AGL_2012_06,AGL,201206.0,2012,91.0,6,-0.0276529672836197,4.47,-3.08,1.26,3.94,-0.0108986067241212
AHG_2012_06,AHG,201206.0,2012,90.0,6,-0.0499999999999999,4.47,-3.08,1.26,3.94,-0.0108986067241212
AIO_2012_06,AIO,201206.0,2012,81.0,6,-0.0418502202643172,4.47,-3.08,1.26,3.94,-0.0108986067241212
AMP_2012_06,AMP,201206.0,2012,104.0,6,-0.0077319587628865,4.47,-3.08,1.26,3.94,-0.0108986067241212
BKN_2012_06,BKN,201206.0,2012,43.0,6,-0.1378737541528237,4.47,-3.08,1.26,3.94,-0.0108986067241212
BKW_2012_06,BKW,201206.0,2012,30.0,6,-0.0241545893719806,4.47,-3.08,1.26,3.94,-0.0108986067241212
BLD_2012_06,BLD,201206.0,2012,30.0,6,-0.1643134212567882,4.47,-3.08,1.26,3.94,-0.0108986067241212
CCL_2012_06,CCL,201206.0,2012,114.0,6,0.0412451361867705,4.47,-3.08,1.26,3.94,-0.0108986067241212
CSL_2012_06,CSL,201206.0,2012,95.0,6,0.0470119521912351,4.47,-3.08,1.26,3.94,-0.0108986067241212
CSR_2012_06,CSR,201206.0,2012,30.0,6,-0.1515151515151515,4.47,-3.08,1.26,3.94,-0.0108986067241212
DOW_2012_06,DOW,201206.0,2012,216.0,6,-0.0486332162898304,4.47,-3.08,1.26,3.94,-0.0108986067241212
ELD_2012_06,ELD,201206.0,2012,35.0,6,0.1891567869988011,4.47,-3.08,1.26,3.94,-0.0108986067241212
ENV1_2012_06,ENV1,201206.0,2012,31.0,6,-0.0126582278481012,4.47,-3.08,1.26,3.94,-0.0108986067241212
EPW_2012_06,EPW,201206.0,2012,91.0,6,-0.0099009900990099,4.47,-3.08,1.26,3.94,-0.0108986067241212
EVN_2012_06,EVN,201206.0,2012,119.0,6,-0.0895211191821361,4.47,-3.08,1.26,3.94,-0.0108986067241212
FMG_2012_06,FMG,201206.0,2012,56.0,6,0.0606060606060605,4.47,-3.08,1.26,3.94,-0.0108986067241212
FXJ_2012_06,FXJ,201206.0,2012,84.0,6,-0.1627906976744186,4.47,-3.08,1.26,3.94,-0.0108986067241212
GFF_2012_06,GFF,201206.0,2012,71.0,6,-0.0677966101694914,4.47,-3.08,1.26,3.94,-0.0108986067241212
GNC_2012_06,GNC,201206.0,2012,35.0,6,0.0116981586231796,4.47,-3.08,1.26,3.94,-0.0108986067241212
HVN_2012_06,HVN,201206.0,2012,87.0,6,-0.0101441537640148,4.47,-3.08,1.26,3.94,-0.0108986067241212
IGR_2012_06,IGR,201206.0,2012,119.0,6,-0.1521739130434782,4.47,-3.08,1.26,3.94,-0.0108986067241212
ILU_2012_06,ILU,201206.0,2012,122.0,6,-0.1552196011990095,4.47,-3.08,1.26,3.94,-0.0108986067241212
IPL_2012_06,IPL,201206.0,2012,92.0,6,0.0035211267605634,4.47,-3.08,1.26,3.94,-0.0108986067241212
LAU_2012_06,LAU,201206.0,2012,131.0,6,0.0625,4.47,-3.08,1.26,3.94,-0.0108986067241212
ABY1_2012_07,ABY1,201207.0,2012,54.0,7,-0.127659574468085,4.76,-3.59,1.48,3.91,-0.009151953628018
AEJ_2012_07,AEJ,201207.0,2012,169.0,7,-0.0568181818181817,4.76,-3.59,1.48,3.91,-0.009151953628018
AGL_2012_07,AGL,201207.0,2012,91.0,7,0.0629694267605931,4.76,-3.59,1.48,3.91,-0.009151953628018
