,year,nger_name,scope1,scope2,energy_consumption,total_emissions
222,2009,veolia transport australasia,57732.0,475209.0,2320700.0,532941.0
223,2009,virgin blue,1734892.0,14167.0,24976991.0,1749059.0
224,2009,waste recycling and processing,675074.0,9046.0,369723.0,684120.0
225,2009,water,110206.0,470679.0,2192704.0,580885.0
226,2009,wesfarmers,3012159.0,2696528.0,42717141.0,5708687.0
227,2009,westfield,12444.0,344807.0,1443271.0,357251.0
228,2009,westpac banking,8581.0,183494.0,864490.0,192075.0
229,2009,whitehaven coal,254924.0,4258.0,1152436.0,259182.0
230,2009,woodside petroleum,8198156.0,44224.0,115701316.0,8242380.0
231,2009,woolworths,330883.0,2424625.0,10242010.0,2755508.0
232,2009,xstrata,2762361.0,1089718.0,18098366.0,3852079.0
233,2010,a j bush & sons,109012.0,19114.0,1133354.0,128126.0
234,2010,a.a. scott,129552.0,6234.0,1886589.0,135786.0
235,2010,a.c.n. 098 904 262,124893.0,0.0,1794184.0,124893.0
236,2010,a.c.n. 137 191 023,81012.0,69537.0,1733594.0,150549.0
237,2010,aapc,17716.0,174845.0,1012140.0,192561.0
238,2010,actew  1,58762.0,160241.0,760868.0,219003.0
239,2010,adelaide brighton,3095806.0,291221.0,20892346.0,3387027.0
240,2010,aditya birla minerals,83786.0,26550.0,1650346.0,110336.0
241,2010,agl energy 1,1435808.0,53594.0,36061683.0,1489402.0
242,2010,air liquide australia,4014.0,291482.0,1348329.0,295496.0
243,2010,alcan gove,1987588.0,7808.0,29230557.0,1995396.0
244,2010,alcoa australian  1,6757567.0,9804728.0,148367174.0,16562295.0
245,2010,aldi stores (a  partnership),37750.0,135237.0,855288.0,172987.0
246,2010,alinta energy,7863143.0,145715.0,100083644.0,8008858.0
247,2010,amalgamated,370.0,145731.0,757974.0,146101.0
248,2010,amcor,510377.0,511524.0,9966094.0,1021901.0
249,2010,amp,7360.0,173098.0,737234.0,180458.0
250,2010,anglo american australia,4059269.0,590957.0,10959630.0,4650226.0
251,2010,anglogold ashanti australia,148797.0,316.0,2911075.0,149113.0
252,2010,apache energy,864379.0,937.0,158747704.0,865316.0
253,2010,apt pipelines,305076.0,92951.0,3248069.0,398027.0
254,2010,arnotts biscuits,28982.0,61980.0,781497.0,90962.0
255,2010,arrow energy,394246.0,40304.0,3740091.0,434550.0
256,2010,asciano,1023720.0,108494.0,15100720.0,1132214.0
257,2010,aurora energy,502846.0,92372.0,11159694.0,595218.0
