,year,nger_name,scope1,scope2,energy_consumption,total_emissions,morningstar_name,match_score,ticker
1060,2012,csr,361838.0,273915.0,7226473.0,361838273915.0,csr,100.0,CSR
1064,2012,david jones,5017.0,93541.0,386994.0,501793541.0,david jones,100.0,DJS
1068,2012,dexus,7881.0,113273.0,527572.0,7881113273.0,dexus,100.0,DXS
1070,2012,downer edi,139679.0,46643.0,2733978.0,13967946643.0,downer edi,100.0,DOW
1075,2012,elders,20345.0,39628.0,455560.0,2034539628.0,elders,100.0,ELD
1081,2012,energy developments,1053143.0,3674.0,23755519.0,10531433674.0,energy developments,100.0,ENE1
1083,2012,envestra,415295.0,62.0,329.0,41529562.0,envestra,100.0,ENV1
1088,2012,erm power,143519.0,3488.0,2597094.0,1435193488.0,erm power,100.0,EPW
1091,2012,evolution mining,67364.0,163230.0,1698708.0,67364163230.0,evolution mining,100.0,EVN
1094,2012,fairfax media,8182.0,76795.0,416358.0,818276795.0,fairfax media,100.0,FXJ
1100,2012,focus minerals,19435.0,39439.0,482589.0,1943539439.0,focus minerals,100.0,FML
1104,2012,fortescue metals,1062109.0,57264.0,16880078.0,106210957264.0,fortescue metals,100.0,FMG
1105,2012,foster's,42398.0,89007.0,1077420.0,4239889007.0,foster's,100.0,FGL1
1117,2012,gloucester coal,310811.0,51271.0,1303808.0,31081151271.0,gloucester coal,100.0,GCL
1120,2012,goodman fielder,67548.0,87026.0,1435112.0,6754887026.0,goodman fielder,100.0,GFF
1122,2012,graincorp,57648.0,167959.0,1666760.0,57648167959.0,graincorp,100.0,GNC
1123,2012,grange resources,199591.0,71275.0,4120060.0,19959171275.0,grange resources,100.0,GRR
1130,2012,harvey norman,4958.0,155552.0,681256.0,4958155552.0,harvey norman,100.0,HVN
1137,2012,hrl,2388137.0,176326.0,32857070.0,2388137176326.0,hrl,100.0,HRL
1145,2012,iluka resources,596774.0,182533.0,8862922.0,596774182533.0,iluka resources,100.0,ILU
1146,2012,incitec pivot,1070161.0,199125.0,26213822.0,1070161199125.0,incitec pivot,100.0,IPL
1149,2012,integra mining,24877.0,28889.0,487460.0,2487728889.0,integra mining,100.0,IGR
1151,2012,investa property,3781.0,81540.0,379051.0,378181540.0,investa property,100.0,IPG2
1161,2012,kagara,34872.0,48221.0,769325.0,3487248221.0,kagara,100.0,KZL
1174,2012,lindsay australia,83327.0,4891.0,1212549.0,833274891.0,lindsay australia,100.0,LAU
1256,2012,redbank energy,1095354.0,1921.0,12650175.0,10953541921.0,redbank energy,100.0,AEJ
1376,2013,aditya birla minerals,100243.0,36601.0,2094919.0,10024336601.0,aditya birla minerals,100.0,ABY1
1377,2013,agl energy,20236397.0,314529.0,171615419.0,20236397314529.0,agl energy,100.0,AGL
1388,2013,amp,12120.0,154462.0,743541.0,12120154462.0,amp,100.0,AMP
1393,2013,ardent leisure,2685.0,55944.0,273758.0,268555944.0,ardent leisure,100.0,ALG
1396,2013,arrow energy,790407.0,46614.0,11496622.0,79040746614.0,arrow energy,100.0,AOE
1398,2013,asciano,1088013.0,145499.0,16184679.0,1088013145499.0,asciano,100.0,AIO
1401,2013,atlas iron,60863.0,384.0,881299.0,60863384.0,atlas iron,100.0,AGO
1402,2013,aurizon,755100.0,466584.0,12814546.0,755100466584.0,aurizon,100.0,AZJ
1412,2013,automotive,81645.0,45137.0,1366012.0,8164545137.0,automotive,100.0,AHG
1420,2013,beach energy,94915.0,623.0,346965.0,94915623.0,beach energy,100.0,BPT
1423,2013,bega cheese,47004.0,91709.0,1431644.0,4700491709.0,bega cheese,100.0,BGA
1433,2013,bluescope steel,6031331.0,933104.0,72414261.0,6031331933104.0,bluescope steel,100.0,BSL
1439,2013,boral,2259470.0,503478.0,19502843.0,2259470503478.0,boral,100.0,BLD
1442,2013,bradken,35319.0,93995.0,1069983.0,3531993995.0,bradken,100.0,BKN
1443,2013,brickworks,218289.0,99545.0,4423339.0,21828999545.0,brickworks,100.0,BKW
1452,2013,cbh resources,10250.0,82794.0,490824.0,1025082794.0,cbh resources,100.0,CBH1
1455,2013,centennial coal company,1677347.0,279687.0,1613810.0,1677347279687.0,centennial coal company,100.0,CEY
1457,2013,charter hall,5838.0,99484.0,435573.0,583899484.0,charter hall,100.0,CHC
1462,2013,coca-cola amatil,51039.0,143571.0,1457625.0,51039143571.0,coca-cola amatil,100.0,CCL
1465,2013,commonwealth bank of australia,22860.0,333827.0,1627533.0,22860333827.0,commonwealth bank of australia,100.0,CBA
1475,2013,csl,12268.0,66874.0,439604.0,1226866874.0,csl,100.0,CSL
1476,2013,csr,361216.0,259123.0,6916369.0,361216259123.0,csr,100.0,CSR
1480,2013,david jones,7090.0,86925.0,366980.0,709086925.0,david jones,100.0,DJS
1484,2013,dexus,9126.0,101382.0,499051.0,9126101382.0,dexus,100.0,DXS
1486,2013,downer edi,156804.0,48934.0,2939595.0,15680448934.0,downer edi,100.0,DOW
1492,2013,elders,21675.0,31020.0,444263.0,2167531020.0,elders,100.0,ELD
1498,2013,energy developments,1095328.0,3232.0,17559241.0,10953283232.0,energy developments,100.0,ENE1
1500,2013,envestra,456035.0,61.0,24760.0,45603561.0,envestra,100.0,ENV1
1503,2013,erm power,47704.0,4322.0,645817.0,477044322.0,erm power,100.0,EPW
1506,2013,evolution mining,109377.0,217212.0,2531991.0,109377217212.0,evolution mining,100.0,EVN
1509,2013,fairfax media,9103.0,70071.0,409845.0,910370071.0,fairfax media,100.0,FXJ
1511,2013,federation,3118.0,119462.0,504948.0,3118119462.0,federation,100.0,FDR1
1515,2013,focus minerals,37865.0,31569.0,691332.0,3786531569.0,focus minerals,100.0,FML
1519,2013,fortescue metals,1331339.0,99522.0,20442388.0,133133999522.0,fortescue metals,100.0,FMG
1520,2013,foster's,43620.0,87804.0,1085717.0,4362087804.0,foster's,100.0,FGL1
1534,2013,goodman fielder,29196.0,59741.0,790228.0,2919659741.0,goodman fielder,100.0,GFF
1536,2013,graincorp,103653.0,186720.0,2488495.0,103653186720.0,graincorp,100.0,GNC
1537,2013,grange resources,173721.0,58961.0,3643328.0,17372158961.0,grange resources,100.0,GRR
1543,2013,harvey norman,5451.0,148170.0,680228.0,5451148170.0,harvey norman,100.0,HVN
1546,2013,hillgrove resources,27700.0,26079.0,551205.0,2770026079.0,hillgrove resources,100.0,HGO
1549,2013,hrl,615268.0,68883.0,12310943.0,61526868883.0,hrl,100.0,HRL
1557,2013,iluka resources,367178.0,115940.0,5892448.0,367178115940.0,iluka resources,100.0,ILU
1558,2013,incitec pivot,1215654.0,185887.0,28867726.0,1215654185887.0,incitec pivot,100.0,IPL
1561,2013,inova  resources,55333.0,0.0,933382.0,553330.0,inova resources,97.0,IVA
1563,2013,investa property,5514.0,90418.0,449190.0,551490418.0,investa property,100.0,IPG2
