,ticker,morningstar_name,year,capex,eoy_price,eps,ltdebt,marketcap,ppe,revenue,roe,stdebt,assets,liabilities
212,AJD,asia pacific data centre,2000,,,,,,,,,,,
213,AJJ,asian american medical,2000,,,,,,,,,,,
214,AJL,aj lucas,2000,-5480460.0,1.65,12.6,847700.0,59977500.0,9397856.0,41765345.0,0.2489,4522677.0,36368507.0,20205412.0
215,AJO,armstrong jones office fund,2000,,,,,,,,,,,
216,AJQ,armour energy,2000,,,,,,,,,,,
217,AJR1,armstrong jones retail fund,2000,-13795000.0,0.8,7.56,65000000.0,272826710.4,,,0.08710000000000001,,368667000.0,72598000.0
218,AJX,alexium international,2000,-2780000.0,1.1,5.42,5780000.0,45933129.0,18097000.0,19681000.0,0.07980000000000001,5534000.0,44545000.0,18826000.0
219,AJY,asaplus resources,2000,,,,,,,,,,,
220,AKE,allkem,2000,,,,,,,,,,,
221,AKF,ask funding,2000,,,,,,,,,,,
222,AKG,academies australasia,2000,-220392.0,0.91,14.67,5680934.0,11047553.79,1829223.0,13287619.0,0.051399999999999994,386000.0,32827601.0,24421847.0
223,AKI,african iron,2000,,,,,,,,,,,
224,AKL,auckland real estate trust,2000,,,,,,,,,,,
225,AKM,aspire mining,2000,,,,,,,,,,,
226,AKN,auking mining,2000,,,,,,,,,,,
227,AKO,akora resources,2000,,,,,,,,,,,
228,AKP,audio pixel,2000,,,,,,,,,,,
229,AKR,astra capital,2000,,,,,,,,,,,
230,AKS,australian masters corporate bond fund no1,2000,,,,,,,,,,,
231,AKT,australian masters corporate bond fund no2,2000,,,,,,,,,,,
232,AKU,australian masters corporate bond fund no3,2000,,,,,,,,,,,
233,AKW,arturus capital,2000,-10137000.0,5.35,-23.64,14029000.0,166823662.55,10864000.0,2771000.0,-0.2021,95000.0,44964000.0,15055000.0
234,AKX,australian masters corporate bond fund no4,2000,,,,,,,,,,,
235,AKY,australian masters corporate bond fund no5,2000,,,,,,,,,,,
236,AL3,aml3d,2000,,,,,,,,,,,
237,AL8,alderan resources,2000,,,,,,,,,,,
238,ALA,arovella therapeutics,2000,,,,,,,,,,,
239,ALA1,alpha healthcare,2000,-31516000.0,0.18,1.75,61541000.0,8067898.1,113241000.0,83553000.0,0.0208,22041000.0,133922000.0,97836000.0
240,ALB,albion resources,2000,,,,,,,,,,,
241,ALB1,albidon,2000,,,,,,,,,,,
242,ALC,alcidion,2000,,,,,,,,,,,
243,ALD,ampol,2000,-81852000.0,2.1,13.55,1036286000.0,567000000.0,1662458000.0,5035600000.0,0.0095,246616000.0,3167431000.0,2158297000.0
244,ALD2,allied gold mining plc,2000,,,,,,,,,,,
245,ALF,australian leaders fund,2000,,,,,,,,,,,
246,ALG,ardent leisure,2000,-45843000.0,0.81,11.09,32694000.0,109801804.23,,,0.09519999999999999,,163652000.0,41586000.0
247,ALH,australian leisure and hospitality,2000,,,,,,,,,,,
248,ALI,argo global listed infrastructure,2000,,,,,,,,,,,
