ticker_year_month,ticker,year,ret,month,MKT-RF,SMB,HML,WML,pmc
FGL1_2010_02,FGL1,2010,0.0094117647058824,2,2.63,-2.08,1.57,1.0,0.0050202958768922
FMG_2010_02,FMG,2010,0.0264900662251654,2,2.63,-2.08,1.57,1.0,0.0050202958768922
GFF_2010_02,GFF,2010,-0.0344827586206897,2,2.63,-2.08,1.57,1.0,0.0050202958768922
GNC_2010_02,GNC,2010,0.0782625786163522,2,2.63,-2.08,1.57,1.0,0.0050202958768922
GRR_2010_02,GRR,2010,0.0747502583534274,2,2.63,-2.08,1.57,1.0,0.0050202958768922
HVN_2010_02,HVN,2010,0.040755666066478,2,2.63,-2.08,1.57,1.0,0.0050202958768922
ILU_2010_02,ILU,2010,0.084847415769977,2,2.63,-2.08,1.57,1.0,0.0050202958768922
KZL_2010_02,KZL,2010,-0.0978260869565218,2,2.63,-2.08,1.57,1.0,0.0050202958768922
ABY1_2010_03,ABY1,2010,0.1578947368421053,3,7.65,-0.42,1.21,1.67,0.0135480485735089
AIO_2010_03,AIO,2010,0.0518518518518518,3,7.65,-0.42,1.21,1.67,0.0135480485735089
AMP_2010_03,AMP,2010,0.0538720538720538,3,7.65,-0.42,1.21,1.67,0.0135480485735089
BKN_2010_03,BKN,2010,0.1820987654320986,3,7.65,-0.42,1.21,1.67,0.0135480485735089
BKW_2010_03,BKW,2010,0.0731707317073169,3,7.65,-0.42,1.21,1.67,0.0135480485735089
BSL_2010_03,BSL,2010,0.2024832700454535,3,7.65,-0.42,1.21,1.67,0.0135480485735089
CCL_2010_03,CCL,2010,0.0026737967914438,3,7.65,-0.42,1.21,1.67,0.0135480485735089
CRG_2010_03,CRG,2010,0.0666666666666666,3,7.65,-0.42,1.21,1.67,0.0135480485735089
CSR_2010_03,CSR,2010,0.0216011235955055,3,7.65,-0.42,1.21,1.67,0.0135480485735089
DJS_2010_03,DJS,2010,0.00210970464135,3,7.65,-0.42,1.21,1.67,0.0135480485735089
DOW_2010_03,DOW,2010,-0.0430445302882369,3,7.65,-0.42,1.21,1.67,0.0135480485735089
ENE1_2010_03,ENE1,2010,0.0502092050209204,3,7.65,-0.42,1.21,1.67,0.0135480485735089
ENV1_2010_03,ENV1,2010,-0.0192307692307692,3,7.65,-0.42,1.21,1.67,0.0135480485735089
FGL1_2010_03,FGL1,2010,-0.0186480186480186,3,7.65,-0.42,1.21,1.67,0.0135480485735089
FMG_2010_03,FMG,2010,0.053763440860215,3,7.65,-0.42,1.21,1.67,0.0135480485735089
GFF_2010_03,GFF,2010,-0.0499999999999999,3,7.65,-0.42,1.21,1.67,0.0135480485735089
GNC_2010_03,GNC,2010,0.0032080492873025,3,7.65,-0.42,1.21,1.67,0.0135480485735089
GRR_2010_03,GRR,2010,0.5833333333333333,3,7.65,-0.42,1.21,1.67,0.0135480485735089
HVN_2010_03,HVN,2010,-0.0548400384456954,3,7.65,-0.42,1.21,1.67,0.0135480485735089
ILU_2010_03,ILU,2010,0.2234146341463414,3,7.65,-0.42,1.21,1.67,0.0135480485735089
KZL_2010_03,KZL,2010,-0.0361445783132529,3,7.65,-0.42,1.21,1.67,0.0135480485735089
ABY1_2010_04,ABY1,2010,-0.0181818181818181,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
AIO_2010_04,AIO,2010,-0.102112676056338,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
BKN_2010_04,BKN,2010,-0.0430809399477807,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
BKW_2010_04,BKW,2010,-0.018181818181818,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
BSL_2010_04,BSL,2010,-0.0893464516347162,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
CCL_2010_04,CCL,2010,-0.0026666666666665,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
CRG_2010_04,CRG,2010,0.0089285714285711,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
CSR_2010_04,CSR,2010,0.0574115317990597,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
DJS_2010_04,DJS,2010,-0.0126315789473683,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
DOW_2010_04,DOW,2010,-0.0740658593207057,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
ENE1_2010_04,ENE1,2010,-0.0079681274900397,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
ENV1_2010_04,ENV1,2010,0.0196078431372548,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
FGL1_2010_04,FGL1,2010,0.0285035629453682,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
FMG_2010_04,FMG,2010,-0.0653061224489796,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
GFF_2010_04,GFF,2010,0.0225563909774435,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
GNC_2010_04,GNC,2010,-0.0723500127184854,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
GRR_2010_04,GRR,2010,0.0702429149797569,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
HVN_2010_04,HVN,2010,-0.0579929106862688,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
ILU_2010_04,ILU,2010,0.0616693248272195,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
KZL_2010_04,KZL,2010,-0.0625,4,0.76,3.94,-0.87,0.42,-0.0069176463209351
ABY1_2010_05,ABY1,2010,-0.3055555555555556,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
AIO_2010_05,AIO,2010,-0.0588235294117647,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
BKN_2010_05,BKN,2010,0.0122783083219644,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
BKW_2010_05,BKW,2010,-0.070216049382716,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
BSL_2010_05,BSL,2010,-0.1245247712961862,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
CCL_2010_05,CCL,2010,-0.0303030303030302,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
CRG_2010_05,CRG,2010,-0.0154867256637166,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
CSR_2010_05,CSR,2010,-0.0342980471695659,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
DJS_2010_05,DJS,2010,-0.0618336886993603,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
DOW_2010_05,DOW,2010,-0.1042957521558606,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
ENE1_2010_05,ENE1,2010,0.0080321285140561,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
ENV1_2010_05,ENV1,2010,-0.0384615384615385,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
FGL1_2010_05,FGL1,2010,0.0254041570438798,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
FMG_2010_05,FMG,2010,-0.1179039301310044,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
GFF_2010_05,GFF,2010,-0.0735294117647059,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
GNC_2010_05,GNC,2010,0.0242870573487934,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
GRR_2010_05,GRR,2010,-0.139398524683185,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
HVN_2010_05,HVN,2010,0.0087903275553637,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
ILU_2010_05,ILU,2010,0.0300867968619598,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
KZL_2010_05,KZL,2010,-0.2400000000000001,5,-12.22,-3.06,1.56,-3.97,-0.0165737783510154
ABY1_2010_06,ABY1,2010,-0.1333333333333333,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
AIO_2010_06,AIO,2010,0.0125000000000001,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
BKN_2010_06,BKN,2010,-0.0296495956873314,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
BKW_2010_06,BKW,2010,-0.008298755186722,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
BSL_2010_06,BSL,2010,-0.094832996895727,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
CCL_2010_06,CCL,2010,0.099264705882353,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
CRG_2010_06,CRG,2010,-0.0955056179775281,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
CSR_2010_06,CSR,2010,-0.0058969249824977,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
DJS_2010_06,DJS,2010,-0.0204545454545456,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
DOW_2010_06,DOW,2010,-0.4258410740073811,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
ENE1_2010_06,ENE1,2010,-0.0358565737051792,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
ENV1_2010_06,ENV1,2010,-0.02,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
FGL1_2010_06,FGL1,2010,0.0135135135135133,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
FMG_2010_06,FMG,2010,0.0198019801980198,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
GFF_2010_06,GFF,2010,-0.0079365079365079,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
GNC_2010_06,GNC,2010,-0.0981337004742235,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
GRR_2010_06,GRR,2010,-0.0476923076923077,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
HVN_2010_06,HVN,2010,-0.037790075519002,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
ILU_2010_06,ILU,2010,-0.0292080210654244,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
KZL_2010_06,KZL,2010,-0.1578947368421052,6,-0.2,-1.05,1.3,-1.91,0.0020651511651374
ABY1_2010_07,ABY1,2010,0.3692307692307692,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
AIO_2010_07,AIO,2010,0.0432098765432098,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
BKN_2010_07,BKN,2010,0.0680555555555555,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
BKW_2010_07,BKW,2010,-0.0117154811715479,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
BSL_2010_07,BSL,2010,0.1285782554511294,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
CCL_2010_07,CCL,2010,-0.0409698996655518,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
CRG_2010_07,CRG,2010,0.0409937888198757,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
CSR_2010_07,CSR,2010,0.0238088788970447,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
DJS_2010_07,DJS,2010,0.1136890951276101,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
DOW_2010_07,DOW,2010,0.3805738417587876,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
ENE1_2010_07,ENE1,2010,0.0454545454545454,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
ENV1_2010_07,ENV1,2010,0.0204081632653061,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
FGL1_2010_07,FGL1,2010,0.0177777777777778,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
FMG_2010_07,FMG,2010,0.0412621359223301,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
GFF_2010_07,GFF,2010,-0.008,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
GNC_2010_07,GNC,2010,0.0600457976422694,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
GRR_2010_07,GRR,2010,0.1200092314793446,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
HVN_2010_07,HVN,2010,0.0573861650408311,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
ILU_2010_07,ILU,2010,0.1827741612418629,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
KZL_2010_07,KZL,2010,0.3541666666666667,7,9.56,-1.08,-0.91,0.56,0.0097931028189802
ABY1_2010_08,ABY1,2010,-0.0112359550561798,8,-0.79,-0.07,0.47,3.42,0.0066048755950899
AIO_2010_08,AIO,2010,-0.0098619329388561,8,-0.79,-0.07,0.47,3.42,0.0066048755950899
BKN_2010_08,BKN,2010,-0.0195058517555266,8,-0.79,-0.07,0.47,3.42,0.0066048755950899
