ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACP,Audalia Resources Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , ,--, ,--,--,0.00,0.00,0.00,"3,625,000.00","3,000,000.00",0.00,"3,082,654.00","3,625,891.00", 
ACQ,Acorn Capital Investment Fund Limited ,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , ,--,--,0.00,0.00,0.00,0.00,--,--,--
ACR,Acrux Limited,Annual Balance Sheet - NCL Long-Term Debt, , ,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,234,000.00","2,049,000.00","1,854,000.00"
ACS,Accent Resources N.L.,Annual Balance Sheet - NCL Long-Term Debt, , , , , ,--,--,--,--,--,--,--,--,--,--,--,"3,114,030.00","4,350,175.00","5,209,661.00","6,727,493.00","7,963,673.00","3,951,223.00", 
ACU,Acumentis Group Limited,Annual Balance Sheet - NCL Long-Term Debt,--,--,--,--,0.00,0.00,--,--,0.00,0.00,--,--,--,--,--,--,--,"114,000.00","61,000.00","3,250,000.00","4,964,000.00","3,478,000.00","3,719,000.00"
ACW,Actinogen Medical Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , ,--,--,--,--,--,--,--,--,--,--,--,--,"303,852.00","165,271.00","86,933.00"
ACX,Aconex Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , ,0.00,0.00,"933,000.00","767,000.00", , , , , 
ACY,Australian Commercial Property Trust ,Annual Balance Sheet - NCL Long-Term Debt,"20,116,000.00",--, , , , , , , , , , , , , , , , , , , , , 
AD1,AD1 Holdings Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,"48,187.00",0.00,"3,500,490.00"
AD8,Audinate Group limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,"2,003,000.00","1,432,000.00","1,107,000.00"
ADA,Adacel Technologies Limited,Annual Balance Sheet - NCL Long-Term Debt,"2,431,000.00","62,000.00","18,000.00","214,000.00","169,000.00","115,000.00","109,000.00",0.00,0.00,"182,000.00","134,000.00","20,000.00",0.00,"5,000.00","1,000.00",0.00,0.00,0.00,0.00,0.00,"6,158,000.00","6,103,000.00",--
ADB,Adelaide Bank Limited,Annual Balance Sheet - NCL Long-Term Debt,--,--,--,--,--,--,--,--, , , , , , , , , , , , , , , 
ADD,Adavale Resources Limited,Annual Balance Sheet - NCL Long-Term Debt,"1,734,398.00","6,850,329.00","2,490,602.00","2,593,674.00","2,413,717.00","192,917.00",--,--,--,--,--,--,--,"175,000.00","503,902.00","720,000.00","821,490.00","716,823.00","850,438.00","1,000,000.00","1,000,000.00",--, 
ADE,Adelaide Energy Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , ,--,0.00,0.00,"72,307.00","167,964.00", , , , , , , , , , , 
ADEF,Apostle Dundas Global Equity Fund,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , , , ,--, 
ADG,Adtrans Group Limited,Annual Balance Sheet - NCL Long-Term Debt,"8,500,757.00","8,341,000.00","8,588,000.00","7,964,000.00","10,652,000.00","10,873,000.00","11,018,000.00","11,307,000.00","19,225,000.00","18,861,000.00","19,348,000.00", , , , , , , , , , , , 
ADH,Adairs Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , ,"41,631,000.00","41,800,000.00","41,921,000.00","41,955,000.00","24,999,000.00","24,999,000.00","103,275,000.00","73,721,000.00","261,365,000.00"
ADI2,Adelphi Energy Limited,Annual Balance Sheet - NCL Long-Term Debt,"75,000.00","42,000.00",--,--,--,--,--,--,--,--, , , , , , , , , , , , , 
ADN,Andromeda Metals Limited,Annual Balance Sheet - NCL Long-Term Debt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"43,024.00","26,591.00", 
ADO,AnteoTech Limited,Annual Balance Sheet - NCL Long-Term Debt,"25,314.00","172,113.00","157,018.00","138,245.00","22,905.00",--,--,--,--,--,--,--,--,--,0.00,0.00,"15,088,578.00",0.00,0.00,0.00,0.00,"1,004,715.00","775,759.00"
ADP,AMP Diversified Property Trust,Annual Balance Sheet - NCL Long-Term Debt,"198,981,000.00","150,000,000.00","325,000,000.00","320,000,000.00", , , , , , , , , , , , , , , , , , , 
ADQ,ADG Global Supply Limited,Annual Balance Sheet - NCL Long-Term Debt,"7,419,650.00","6,782,574.00","11,014,668.00","10,465,953.00","9,341,673.00","9,055,669.00","3,642,630.00",0.00,"6,088,629.00","221,780.00","63,018.00","2,900,000.00","3,200,000.00","3,179,000.00",0.00,--, , , , , , , 
ADR,Adherium Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , ,--,--,--,--,--,--,--, 
ADS,Adslot Ltd,Annual Balance Sheet - NCL Long-Term Debt,"985,412.00","1,680,191.00","362,637.00","345,918.00",0.00,0.00,--,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"555,463.00","323,110.00","960,915.00","1,161,470.00","1,659,944.00"
ADT,Adriatic Metals Plc,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , ,--,--,--,"456,661.00","22,959,748.00", 
ADT1,Advent Limited,Annual Balance Sheet - NCL Long-Term Debt,"584,221.00","6,595,766.00","5,418,467.00","5,369,909.00","6,157,540.00","6,615,712.00",--,--, , , , , , , , , , , , , , , 
ADU,Adamus Resources Limited,Annual Balance Sheet - NCL Long-Term Debt,--,--,--,--,0.00,--,--,--,--,"5,000,000.00","778,675.00","33,638,265.00", , , , , , , , , , , 
ADV,Ardiden Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00,"124,573.00", 
ADV1,Australian Development Capital Fund,Annual Balance Sheet - NCL Long-Term Debt,--,--,--,--, , , , , , , , , , , , , , , , , , , 
ADX,ADX Energy Ltd,Annual Balance Sheet - NCL Long-Term Debt,--,--,--,--,"93,861.00","79,641.00","65,421.00","51,201.00",--,0.00,--,--,0.00,--,--,--,--,0.00,0.00,"1,750,000.00","4,310,013.00","1,448,671.00", 
ADY,Admiralty Resources NL,Annual Balance Sheet - NCL Long-Term Debt,--,--,--,--,--,"9,359,020.00",--,--,--,0.00,0.00,--,--,"1,407,585.00","2,542,508.00",--,--,"1,706,355.00","5,039,327.00","3,759,690.00","6,909,444.00","2,033,682.00", 
ADZ,Adsteam Marine Limited,Annual Balance Sheet - NCL Long-Term Debt,"118,821,000.00","439,761,000.00","411,858,000.00","358,927,000.00","288,129,000.00","262,444,000.00","305,897,000.00", , , , , , , , , , , , , , , , 
AE1,Aerison Group Ltd,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , , ,"2,106,000.00","3,862,000.00", 
AEB,Affinity Energy and Health Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , ,--,--,"11,305.00","3,768.00",--,--,--,--,--,--, , , 
