ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACE,Acusensus Limited,Annual Profit and Loss - Total Revenue Excluding Int,"1,742,201.00","2,197,206.00","2,272,717.00","4,815,896.00","4,418,423.00","1,790,710.00","2,626,627.00","3,293,392.00","4,828,641.00","5,634,058.00","3,550,038.00","2,608,981.00","1,479,863.00","46,333.00",--,--, , , , , , , 
ACF,Acrow Formwork and Construction Services Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , ,--,--,"17,856.00","2,543,067.00","5,364,537.00","31,683,018.00","336,518.00","88,541.00","1,686.00",--,"26,669,316.00","69,740,002.00","83,878,071.00","101,511,317.00","145,782,705.00"
ACL,Australian Clinical Labs Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , ,"2,190,435.00","2,156,000.00","2,387,000.00","839,000.00","2,316,000.00","1,345,000.00","1,560,000.00","120,000.00","832,000.00","700,000.00","24,081,000.00","15,415,000.00","11,761,000.00","25,158,500.00","22,333.00",--,--,--,"644,668,000.00","997,165,000.00"
ACN,Acer Energy Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , ,--,--,"229,514.00","1,098,330.00","2,948,509.00","1,195,054.00","2,582,903.00","630,241.00","2,106,000.00","3,454,000.00", , , , , , , , , , 
ACO,Australian Careers Network Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , ,--,"85,159,000.00", , , , , , , 
ACP,Audalia Resources Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , ,--, ,"98,347.00","43,043.00",--,--,--,--,"1,004,289.00",--,--,--, 
ACQ,Acorn Capital Investment Fund Limited ,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , ,--,--,--,--,--,--,--,--,--
ACR,Acrux Limited,Annual Profit and Loss - Total Revenue Excluding Int, , ,--,"1,832,619.00","3,339,645.00","3,471,736.00","1,548,000.00","4,044,000.00","4,496,000.00","1,931,000.00","55,069,000.00","89,771,000.00","9,058,000.00","15,717,000.00","53,389,000.00","24,804,000.00","28,009,000.00","23,321,000.00","2,761,000.00","4,707,000.00","3,729,000.00","5,122,000.00","5,085,000.00"
ACS,Accent Resources N.L.,Annual Profit and Loss - Total Revenue Excluding Int, , , , , ,--,--,--,"44,822.00",--,"93,517.00",--,"7,154.00",--,--,--,"59,860.00","18,088.00",--,--,"47,008.00","50,000.00", 
ACU,Acumentis Group Limited,Annual Profit and Loss - Total Revenue Excluding Int,"19,000.00","94,000.00","397,070.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ACW,Actinogen Medical Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , ,"13,639.00","25,589.00","111,771.00","58,820.00","51,562.00","5,535.00","166,954.00","103,502.00","3,848,772.00","1,377,951.00","3,304,465.00","4,862,755.00","3,516,397.00","1,984,072.00","3,653,476.00"
ACX,Aconex Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , ,--,"139,450,000.00","123,358,000.00","162,262,000.00", , , , , 
ACY,Australian Commercial Property Trust ,Annual Profit and Loss - Total Revenue Excluding Int,--,--, , , , , , , , , , , , , , , , , , , , , 
AD1,AD1 Holdings Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , ,--,"886,622.00","1,052,368.00","2,161,473.00","2,419,197.00","3,652,016.00","6,043,789.00","7,796,548.00"
AD8,Audinate Group limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , ,--,"15,163,855.00","19,583,465.00","28,417,000.00","30,831,000.00","34,197,000.00","46,295,000.00"
ADA,Adacel Technologies Limited,Annual Profit and Loss - Total Revenue Excluding Int,"30,840,000.00","54,670,000.00","71,364,000.00","96,775,000.00","57,566,000.00","38,361,000.00","52,688,000.00","35,533,000.00","38,513,000.00","59,212,000.00","48,427,000.00","75,805,000.00","39,886,000.00","32,594,000.00","33,933,000.00","42,618,000.00","49,227,000.00","44,465,000.00","54,590,000.00","42,670,000.00","41,491,000.00","44,076,000.00","44,041,225.00"
ADB,Adelaide Bank Limited,Annual Profit and Loss - Total Revenue Excluding Int,--,--,--,--,--,--,--,--, , , , , , , , , , , , , , , 
ADD,Adavale Resources Limited,Annual Profit and Loss - Total Revenue Excluding Int,"1,292,104.00","3,153,302.00","10,546,636.00","10,100,360.00","8,592,117.00","5,896,742.00","1,296,816.00","517,942.00","502,999.00","1,500.00","14,542.00","15,207.00","2,874.00","44,037.00",--,--,"1,818.00",--,--,--,--,"11,601.00", 
ADE,Adelaide Energy Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , ,--,--,"4,553,906.00","3,170,470.00","4,142,545.00", , , , , , , , , , , 
ADEF,Apostle Dundas Global Equity Fund,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , , , , ,--, 
