ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABP,Abacus Property Group,Annual Balance Sheet - NCA PP&E, , ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ABR,American Pacific Borates Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , ,"686,844.00", ,"741,351.00","768,177.00","1,388,857.00","17,551,979.00", 
ABS,A.B.C. Learning Centres Limited,Annual Balance Sheet - NCA PP&E,"1,973,000.00","2,398,000.00","6,463,000.00","18,399,000.00","35,762,000.00","105,291,000.00","241,962,000.00","549,600,000.00", , , , , , , , , , , , , , , 
ABT,Abundant Produce Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , ,"28,382.00","384,885.00","349,133.00","195,530.00","47,958.00", , , 
ABV,Advanced Braking Technology Ltd,Annual Balance Sheet - NCA PP&E, ,"210,345.00","199,496.00","158,000.00","252,000.00","148,000.00","217,000.00","231,000.00","205,000.00","398,000.00","504,000.00","734,000.00","2,997,000.00","3,880,000.00","736,000.00","279,000.00","291,000.00","462,000.00","490,000.00","463,000.00","779,000.00","872,000.00","383,000.00"
ABW,Aurora Absolute Return Fund,Annual Balance Sheet - NCA PP&E, , , , , , , ,--,--,--,--,--,--,--,--,--,--,--,--,--,--, , 
ABX,ABx Group Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , ,"2,400,000.00","2,400,000.00","2,490,010.00","8,218,612.00","11,143,978.00","13,180,810.00","13,556,701.00","18,049,135.00","16,432,842.00","16,850,000.00","15,461,000.00","15,997,000.00","15,792,000.00","13,375,000.00", 
ABX2,Abelle Limited,Annual Balance Sheet - NCA PP&E, ,"7,966,000.00","6,408,000.00","6,598,000.00", , , , , , , , , , , , , , , , , , , 
ABY,Adore Beauty Group Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , , ,"2,300,000.00","2,054,000.00","1,755,000.00"
ABY1,Aditya Birla Minerals Limited,Annual Balance Sheet - NCA PP&E, , , , , ,"335,365,000.00","359,002,000.00","423,753,000.00","433,346,000.00","432,575,000.00","395,312,000.00","381,747,000.00","364,258,000.00","360,493,000.00","355,024,000.00","215,815,000.00","29,825,000.00", , , , , , 
AC8,AusCann Group Holdings Ltd,Annual Balance Sheet - NCA PP&E,--,--,"2,969,000.00","6,209,000.00","8,385,000.00","8,621,000.00","8,148,000.00","18,628,000.00","18,592,000.00","17,400,000.00","585,000.00",--,--,"2,589.00","1,552.00",--,0.00,242.00,"109,806.00","7,193,235.00","11,822,886.00","939,033.00", 
ACB,A-Cap Energy Limited,Annual Balance Sheet - NCA PP&E, , , , , , ,0.00,"415,531.00","387,718.00","373,823.00","417,648.00","678,769.00","759,192.00","559,747.00","340,708.00","239,484.00","152,920.00","97,286.00","44,006.00","26,879.00","13,066.00","8,568.00", 
ACDC,ETFS Battery Tech & Lithium ETF,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , ,--,--,--, 
