ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABE,Australian Bond Exchange Holdings Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , ,"21,633,000.00", 
ABF,Ausmani Limited,Annual Balance Sheet - Total Assets,"9,363,205.00","20,853,917.00","22,264,960.00","23,480,165.00","22,677,944.00","20,865,694.00","13,918,270.00","4,388,626.00","3,325,132.00","13,577,806.00","9,333,329.00","6,592,182.00",--,"100,301.00","20,576.00","27,358.00", , , , , , , 
ABG,Abigroup Limited,Annual Balance Sheet - Total Assets,"314,225,000.00","344,209,000.00","318,643,000.00","394,683,000.00", , , , , , , , , , , , , , , , , , , 
ABL,Abilene Oil and Gas Limited,Annual Balance Sheet - Total Assets,"809,138.00","663,738.00","445,425.00","392,308.00","333,822.00","224,599.00","121,947.00","1,794,640.00","19,922,653.00","13,103,558.00","13,122,609.00","11,768,900.00","12,736,567.00","6,215,728.00","6,118,655.00","5,100,430.00","8,547,292.00","6,085,976.00","5,669,141.00","4,946,760.00", , , 
ABP,Abacus Property Group,Annual Balance Sheet - Total Assets, , ,"426,486,000.00","414,195,000.00","416,059,000.00","593,520,000.00","1,163,280,000.00","1,270,254,000.00","1,647,193,000.00","1,445,793,000.00","1,505,301,000.00","1,601,622,000.00","2,106,817,000.00","2,127,800,000.00","2,079,336,000.00","2,137,247,000.00","2,450,290,000.00","2,436,670,000.00","2,795,617,000.00","2,827,661,000.00","3,342,036,000.00","4,059,057,000.00","5,407,059,000.00"
ABR,American Pacific Borates Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , ,"13,120,063.00", ,"23,806,350.00","29,135,034.00","73,400,921.00","112,211,405.00", 
ABS,A.B.C. Learning Centres Limited,Annual Balance Sheet - Total Assets,"24,870,000.00","28,533,000.00","55,883,000.00","157,024,000.00","314,053,000.00","1,165,459,000.00","2,323,286,000.00","4,067,100,000.00", , , , , , , , , , , , , , , 
ABT,Abundant Produce Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , ,"4,771,339.00","4,968,529.00","3,127,161.00","4,355,745.00","2,530,460.00", , , 
ABV,Advanced Braking Technology Ltd,Annual Balance Sheet - Total Assets, ,"18,998,747.00","12,666,648.00","12,533,000.00","1,751,000.00","2,968,000.00","6,495,000.00","6,032,000.00","7,642,000.00","6,871,000.00","5,319,000.00","9,096,000.00","11,604,000.00","11,056,000.00","7,935,000.00","5,691,000.00","5,217,000.00","7,234,000.00","5,694,000.00","5,722,000.00","5,956,000.00","6,832,000.00", 
ABW,Aurora Absolute Return Fund,Annual Balance Sheet - Total Assets, , , , , , , ,"19,648,680.00","20,605,447.00","8,525,018.00","8,469,524.00","6,328,708.00","7,846,141.00","10,046,902.00","24,794,095.00","21,354,051.00","14,427,000.00","6,689,171.00","3,136,118.00","2,171,301.00","1,760,767.00", , 
ABX,ABx Group Limited,Annual Balance Sheet - Total Assets, , , , , , , , ,"5,982,991.00","5,956,301.00","13,938,405.00","13,414,932.00","14,517,467.00","15,606,703.00","18,542,784.00","19,841,708.00","18,392,271.00","18,880,000.00","18,707,000.00","17,117,000.00","16,923,000.00","19,832,000.00", 
ABX2,Abelle Limited,Annual Balance Sheet - Total Assets, ,"19,154,000.00","24,014,000.00","94,285,000.00", , , , , , , , , , , , , , , , , , , 
ABY,Adore Beauty Group Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , ,"51,700,000.00","56,388,000.00","59,228,000.00"
ABY1,Aditya Birla Minerals Limited,Annual Balance Sheet - Total Assets, , , , , ,"536,074,000.00","573,975,000.00","618,685,000.00","651,371,000.00","624,221,000.00","590,947,000.00","721,282,000.00","703,662,000.00","670,264,000.00","669,433,000.00","392,312,000.00","161,898,000.00", , , , , , 
AC8,AusCann Group Holdings Ltd,Annual Balance Sheet - Total Assets,"1,740,741.00","1,605,796.00","34,897,000.00","40,532,000.00","55,044,000.00","68,801,000.00","58,126,000.00","97,201,000.00","106,195,000.00","37,420,000.00","8,265,340.00","335,213.00","1,325,565.00","1,428,483.00","805,164.00","388,816.00","380,550.00","15,798,909.00","14,712,171.00","42,867,775.00","35,465,187.00","45,119,361.00", 
ACB,A-Cap Energy Limited,Annual Balance Sheet - Total Assets, , , , , , ,"6,297,448.00","19,937,223.00","15,467,959.00","18,067,073.00","23,059,024.00","34,641,752.00","31,974,302.00","39,625,097.00","42,633,116.00","50,180,731.00","54,595,069.00","55,060,277.00","54,817,834.00","56,492,733.00","29,390,600.00","32,033,377.00", 
ACDC,ETFS Battery Tech & Lithium ETF,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , ,"12,516,000.00","22,475,000.00","263,496,000.00", 
ACE,Acusensus Limited,Annual Balance Sheet - Total Assets,"1,774,460.00","3,647,963.00","3,968,902.00","3,048,366.00","2,210,881.00","4,046,019.00","6,022,287.00","6,616,214.00","7,957,403.00","10,776,110.00","9,362,022.00","1,278,988.00","390,838.00","56,095.00","6,810.00",419.00, , , , , , , 
ACF,Acrow Formwork and Construction Services Limited,Annual Balance Sheet - Total Assets, , , , , , , , ,"6,400,884.00","4,680,721.00","44,362,146.00","115,692,336.00","204,072,220.00","131,132,075.00","2,091,295.00","252,604.00","1,288,510.00","568,906.00","50,285,430.00","75,299,710.00","148,219,213.00","159,031,458.00","184,903,684.00"
ACL,Australian Clinical Labs Limited,Annual Balance Sheet - Total Assets, , , ,"29,746,582.00","25,575,000.00","17,778,000.00","52,299,000.00","35,067,000.00","39,680,000.00","30,606,000.00","37,230,000.00","24,325,000.00","32,371,000.00","41,486,000.00","33,996,000.00","14,632,000.00","2,938,178.00","2,282,765.00","1,883,241.00","1,417,238.00","406,700,000.00","474,701,000.00","628,042,000.00"
ACN,Acer Energy Limited,Annual Balance Sheet - Total Assets, , , ,"5,910,094.00","13,995,479.00","14,421,723.00","10,605,461.00","26,647,234.00","51,289,118.00","24,624,174.00","33,807,369.00","50,417,000.00","51,985,000.00", , , , , , , , , , 
ACO,Australian Careers Network Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , ,"61,340,000.00","89,712,000.00", , , , , , , 
ACP,Audalia Resources Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , ,"3,473,894.00", ,"2,197,337.00","1,990,887.00","3,122,794.00","7,217,682.00","8,877,249.00","8,330,483.00","9,998,214.00","9,474,631.00","10,319,841.00","11,001,980.00", 
