ASX Code,Company Name
CDD,Cardno Limited
CDF,Commonwealth Diversified Share Fund
CDG,Cleveland Mining Company Limited
CDH,Chongherr Investments Ltd
CDI,Challenger Diversified Property Group
CDL,Canada Land Limited
CDM,Cadence Capital Limited
CDO,Cadence Opportunities Fund Limited
CDP,Carindale Property Trust
CDR,Codrus Minerals Limited
CDT,Castle Minerals Limited
CDU,CuDeco Limited
CDV,Cardinal Resources Limited
CDX,Cardiex Limited
CE1,Calima Energy Limited
CEG,CEC Group Limited
CEL,Challenger Exploration Limited
CEN,Contact Energy Limited
CEN2,Central Australian Phosphate Limited
CER,Centro Retail Group
CETF,VanEck FTSE China A50 ETF
CEU,ConnectEast Group
CEY,Centennial Coal Company Limited
CF1,Complii Fintech Solutions Ltd
CFK,CFK Childcare Centres Limited
CFO,CFOAM Limited
CFU,Ceramic Fuel Cells Limited
CG1,Carbonxt Group Limited
CGA,Contango Asset Management Limited
CGB,Cann Global Limited
CGC,Costa Group Holdings Limited
CGF,Challenger Limited
CGG,Citadel Resource Group Limited
CGH,Calibre Group Limited
CGI,Consolidated Global Investments Limited
CGL,The Citadel Group Limited
CGM,Cougar Metals NL
CGN,Crater Gold Mining Limited
CGO,CPT Global Limited
CGS,Cogstate Limited
CGT,Castlemaine Goldfields Limited
CGW,Coats Group PLC
CGX,CGA Mining Limited
CHB,Coca-Cola Hellenic Bottling Company S.A.
CHC,Charter Hall Group
CHF,Charter Pacific Corporation Limited
CHK,Cohiba Minerals Limited
CHL,Camplify Holdings Limited
CHM,Chimeric Therapeutics Limited
CHN,Chalice Mining Limited
CHO,Choiseul Investments Limited
CHP,Chapmans Limited
CHQ,Costaexchange Ltd
CHR,Charger Metals NL
CHR1,Chalmers Limited
CHZ,Chesser Resources Limited
CI1,Credit Intelligence Ltd
CIA,Champion Iron Limited
CIF,Challenger Infrastructure Fund
CII,CI Resources Limited
CIL,Centrebet International Limited
CIM,CIMIC Group Limited
CIN,Carlton Investments Limited
CIO,Connected IO Limited
CIP,Centuria Industrial REIT
CIW,Clime Investment Management Ltd
CIX,Calliden Group Limited
CIY,City Pacific Limited
CJG,China JXY Group Limited
CJO,Cerro Resources NL
CJT,CVC Property Fund
CKA,Cokal Limited
CKF,Collins Foods Limited
CKL,Colorpak Limited
CKP,Cheviot Kirribilly Vineyard Property Limited
CKT,Challenger Kenedix Japanese Trust
CL1,Class Limited
